period,transactions,ico_run
2016-09,1339921,0
2016-10,1329847,17
2016-11,1301586,74
2016-12,1316131,74
2017-01,1409664,38
2017-02,1410048,72
2017-03,2426471,181
2017-04,2539966,350
2017-05,4245516,594
2017-06,2498199,293
