,period,transactions,ico_run
0,Mar-2016,917169,0
1,Apr-2016,1023096,0
2,May-2016,1346794,0
3,Jun-2016,1351536,0
4,Jul-2016,1356907,0
5,Aug-2016,1405743,0
6,Sep-2016,1387412,0
7,Oct-2016,1329847,17
8,Nov-2016,1301586,74
9,Dec-2016,1316131,74
10,Jan-2017,1409664,38
11,Feb-2017,1410048,72
12,Mar-2017,2426471,181
13,Apr-2017,2539966,350
14,May-2017,4245516,594
15,Jun-2017,7244657,777
16,Jul-2017,7835875,1070
17,Aug-2017,10523178,1242
18,Sep-2017,10679242,1833
