,period,transactions,ico_run
0,Sep-2016,1339921,0
1,Oct-2016,1329847,17
2,Nov-2016,1301586,74
3,Dec-2016,1316131,74
4,Jan-2017,1409664,38
5,Feb-2017,1410048,72
6,Mar-2017,2426471,181
7,Apr-2017,2539966,350
8,May-2017,4245516,594
9,Jun-2017,2498199,293
